




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (2507)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
negative regulation of inflammatory response (GO:0050728)	320	65	38.95	+	1.67	3.47E-04	6.33E-03
nitrogen compound transport (GO:0071705)	1708	157	207.91	-	.76	3.48E-04	6.34E-03
sympathetic nervous system development (GO:0048485)	21	11	2.56	+	4.30	3.54E-04	6.43E-03
regulation of platelet aggregation (GO:0090330)	21	11	2.56	+	4.30	3.54E-04	6.44E-03
metanephric epithelium development (GO:0072207)	21	11	2.56	+	4.30	3.54E-04	6.45E-03
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	492	33	59.89	-	.55	3.67E-04	6.65E-03
regulation of chondrocyte differentiation (GO:0032330)	52	18	6.33	+	2.84	3.71E-04	6.72E-03
gliogenesis (GO:0042063)	223	49	27.15	+	1.81	3.71E-04	6.72E-03
glomerulus development (GO:0032835)	52	18	6.33	+	2.84	3.71E-04	6.72E-03
cardiac muscle cell differentiation (GO:0055007)	81	24	9.86	+	2.43	3.82E-04	6.91E-03
endothelium development (GO:0003158)	97	27	11.81	+	2.29	3.90E-04	7.02E-03
bone morphogenesis (GO:0060349)	97	27	11.81	+	2.29	3.90E-04	7.03E-03
regulation of Notch signaling pathway (GO:0008593)	106	29	12.90	+	2.25	3.97E-04	7.14E-03
response to alcohol (GO:0097305)	253	54	30.80	+	1.75	3.99E-04	7.18E-03
positive regulation of muscle contraction (GO:0045933)	43	16	5.23	+	3.06	4.06E-04	7.27E-03
GABAergic neuron differentiation (GO:0097154)	14	9	1.70	+	5.28	4.06E-04	7.27E-03
renal vesicle development (GO:0072087)	14	9	1.70	+	5.28	4.06E-04	7.28E-03
negative regulation of homotypic cell-cell adhesion (GO:0034111)	14	9	1.70	+	5.28	4.06E-04	7.29E-03
response to peptide (GO:1901652)	488	90	59.40	+	1.52	4.13E-04	7.37E-03
regulation of endothelial cell proliferation (GO:0001936)	135	34	16.43	+	2.07	4.12E-04	7.37E-03
positive regulation of peptide hormone secretion (GO:0090277)	107	29	13.02	+	2.23	4.17E-04	7.43E-03
nuclear transport (GO:0051169)	264	13	32.14	-	.40	4.17E-04	7.44E-03
antigen processing and presentation of exogenous antigen (GO:0019884)	186	7	22.64	-	.31	4.23E-04	7.53E-03
developmental growth involved in morphogenesis (GO:0060560)	115	30	14.00	+	2.14	4.36E-04	7.76E-03
regulation of neurotransmitter secretion (GO:0046928)	91	26	11.08	+	2.35	4.46E-04	7.90E-03
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	30	13	3.65	+	3.56	4.45E-04	7.90E-03
antigen processing and presentation (GO:0019882)	225	10	27.39	-	.37	4.46E-04	7.91E-03
neurotransmitter biosynthetic process (GO:0042136)	18	10	2.19	+	4.56	4.61E-04	8.14E-03
spinal cord patterning (GO:0021511)	18	10	2.19	+	4.56	4.61E-04	8.15E-03
chondroitin sulfate metabolic process (GO:0030204)	39	15	4.75	+	3.16	4.61E-04	8.15E-03
regulation of heart rate by cardiac conduction (GO:0086091)	39	15	4.75	+	3.16	4.61E-04	8.16E-03
regulation of animal organ formation (GO:0003156)	26	12	3.16	+	3.79	4.71E-04	8.29E-03
positive regulation of heart rate (GO:0010460)	26	12	3.16	+	3.79	4.71E-04	8.30E-03
action potential (GO:0001508)	92	26	11.20	+	2.32	4.73E-04	8.32E-03
metanephric renal vesicle morphogenesis (GO:0072283)	11	8	1.34	+	5.97	4.77E-04	8.38E-03
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	207	46	25.20	+	1.83	4.83E-04	8.47E-03
positive regulation of vasculature development (GO:1904018)	160	38	19.48	+	1.95	4.91E-04	8.59E-03
positive regulation of angiogenesis (GO:0045766)	160	38	19.48	+	1.95	4.91E-04	8.60E-03
cellular response to vascular endothelial growth factor stimulus (GO:0035924)	44	16	5.36	+	2.99	4.99E-04	8.71E-03
negative regulation of peptide hormone secretion (GO:0090278)	44	16	5.36	+	2.99	4.99E-04	8.72E-03
nucleosome organization (GO:0034728)	156	5	18.99	-	.26	5.06E-04	8.83E-03
positive regulation of ion transmembrane transporter activity (GO:0032414)	110	29	13.39	+	2.17	5.10E-04	8.89E-03
embryonic eye morphogenesis (GO:0048048)	35	14	4.26	+	3.29	5.17E-04	9.00E-03
positive regulation of gene expression (GO:0010628)	1169	187	142.30	+	1.31	5.20E-04	9.03E-03
gland morphogenesis (GO:0022612)	100	27	12.17	+	2.22	5.21E-04	9.04E-03
response to amine (GO:0014075)	49	17	5.96	+	2.85	5.24E-04	9.08E-03
lung development (GO:0030324)	173	40	21.06	+	1.90	5.29E-04	9.17E-03
response to extracellular stimulus (GO:0009991)	531	96	64.64	+	1.49	5.34E-04	9.25E-03
translational elongation (GO:0006414)	127	3	15.46	-	.19	5.41E-04	9.36E-03
lymphocyte mediated immunity (GO:0002449)	259	13	31.53	-	.41	5.46E-04	9.43E-03
dendrite development (GO:0016358)	111	29	13.51	+	2.15	5.54E-04	9.56E-03
nucleocytoplasmic transport (GO:0006913)	261	13	31.77	-	.41	5.59E-04	9.63E-03
fat cell differentiation (GO:0045444)	103	28	12.54	+	2.23	5.60E-04	9.65E-03
regulation of chemotaxis (GO:0050920)	226	49	27.51	+	1.78	5.70E-04	9.81E-03
positive regulation of cell adhesion (GO:0045785)	438	82	53.32	+	1.54	5.84E-04	1.00E-02
nucleobase-containing compound catabolic process (GO:0034655)	373	23	45.40	-	.51	5.89E-04	1.01E-02
regulation of cell-cell adhesion (GO:0022407)	439	82	53.44	+	1.53	5.92E-04	1.02E-02
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	184	7	22.40	-	.31	5.98E-04	1.02E-02
cellular response to inorganic substance (GO:0071241)	228	49	27.75	+	1.77	6.03E-04	1.03E-02
metencephalon development (GO:0022037)	112	29	13.63	+	2.13	6.05E-04	1.03E-02
regulation of cell cycle G2/M phase transition (GO:1902749)	222	10	27.02	-	.37	6.05E-04	1.03E-02
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	110	2	13.39	-	.15	6.09E-04	1.04E-02
negative regulation of peptide secretion (GO:0002792)	45	16	5.48	+	2.92	6.09E-04	1.04E-02
mRNA export from nucleus (GO:0006406)	110	2	13.39	-	.15	6.09E-04	1.04E-02
embryonic hindlimb morphogenesis (GO:0035116)	27	12	3.29	+	3.65	6.14E-04	1.04E-02
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	197	8	23.98	-	.33	6.14E-04	1.04E-02
detection of temperature stimulus (GO:0016048)	27	12	3.29	+	3.65	6.14E-04	1.04E-02
ionotropic glutamate receptor signaling pathway (GO:0035235)	27	12	3.29	+	3.65	6.14E-04	1.04E-02
positive regulation of potassium ion transmembrane transporter activity (GO:1901018)	27	12	3.29	+	3.65	6.14E-04	1.04E-02
skeletal muscle tissue development (GO:0007519)	123	31	14.97	+	2.07	6.24E-04	1.05E-02
neuromuscular process controlling balance (GO:0050885)	50	17	6.09	+	2.79	6.32E-04	1.07E-02
response to abiotic stimulus (GO:0009628)	1175	187	143.03	+	1.31	6.32E-04	1.07E-02
positive regulation of stem cell differentiation (GO:2000738)	19	10	2.31	+	4.32	6.36E-04	1.07E-02
forebrain regionalization (GO:0021871)	23	11	2.80	+	3.93	6.40E-04	1.07E-02
male genitalia development (GO:0030539)	23	11	2.80	+	3.93	6.40E-04	1.07E-02
enteroendocrine cell differentiation (GO:0035883)	23	11	2.80	+	3.93	6.40E-04	1.08E-02
regulation of muscle cell differentiation (GO:0051147)	145	35	17.65	+	1.98	6.40E-04	1.08E-02
regulation of platelet activation (GO:0010543)	36	14	4.38	+	3.19	6.47E-04	1.08E-02
neuron maturation (GO:0042551)	36	14	4.38	+	3.19	6.47E-04	1.08E-02
response to corticosteroid (GO:0031960)	168	39	20.45	+	1.91	6.53E-04	1.09E-02
hormone secretion (GO:0046879)	73	22	8.89	+	2.48	6.64E-04	1.11E-02
positive regulation of protein tyrosine kinase activity (GO:0061098)	59	19	7.18	+	2.65	6.68E-04	1.11E-02
sprouting angiogenesis (GO:0002040)	59	19	7.18	+	2.65	6.68E-04	1.11E-02
neural crest cell differentiation (GO:0014033)	89	25	10.83	+	2.31	6.73E-04	1.12E-02
embryonic epithelial tube formation (GO:0001838)	124	31	15.09	+	2.05	6.74E-04	1.12E-02
positive regulation of protein metabolic process (GO:0051247)	1562	240	190.14	+	1.26	6.83E-04	1.14E-02
cellular response to topologically incorrect protein (GO:0035967)	152	5	18.50	-	.27	7.03E-04	1.17E-02
semi-lunar valve development (GO:1905314)	41	15	4.99	+	3.01	7.03E-04	1.17E-02
cardiac cell fate commitment (GO:0060911)	12	8	1.46	+	5.48	7.20E-04	1.19E-02
negative regulation of platelet aggregation (GO:0090331)	12	8	1.46	+	5.48	7.20E-04	1.19E-02
aortic valve morphogenesis (GO:0003180)	32	13	3.90	+	3.34	7.22E-04	1.19E-02
regulation of kidney development (GO:0090183)	32	13	3.90	+	3.34	7.22E-04	1.19E-02
energy derivation by oxidation of organic compounds (GO:0015980)	256	13	31.16	-	.42	7.25E-04	1.20E-02
anterior/posterior axis specification (GO:0009948)	53	18	6.45	+	2.79	7.31E-04	1.20E-02
response to nicotine (GO:0035094)	46	16	5.60	+	2.86	7.39E-04	1.21E-02
negative chemotaxis (GO:0050919)	46	16	5.60	+	2.86	7.39E-04	1.22E-02
regulation of bone resorption (GO:0045124)	46	16	5.60	+	2.86	7.39E-04	1.22E-02
signal release from synapse (GO:0099643)	81	23	9.86	+	2.33	7.47E-04	1.22E-02
neurotransmitter secretion (GO:0007269)	81	23	9.86	+	2.33	7.47E-04	1.23E-02
cellular nitrogen compound catabolic process (GO:0044270)	423	28	51.49	-	.54	7.47E-04	1.23E-02
proteoglycan biosynthetic process (GO:0030166)	60	19	7.30	+	2.60	7.54E-04	1.23E-02
establishment of localization in cell (GO:0051649)	2335	229	284.24	-	.81	7.55E-04	1.23E-02
regulation of pathway-restricted SMAD protein phosphorylation (GO:0060393)	60	19	7.30	+	2.60	7.54E-04	1.23E-02
multicellular organismal homeostasis (GO:0048871)	364	70	44.31	+	1.58	7.58E-04	1.24E-02
negative regulation of ion transport (GO:0043271)	148	35	18.02	+	1.94	7.63E-04	1.24E-02
osteoblast differentiation (GO:0001649)	129	32	15.70	+	2.04	7.85E-04	1.28E-02
protein acylation (GO:0043543)	178	7	21.67	-	.32	7.90E-04	1.28E-02
RNA export from nucleus (GO:0006405)	124	3	15.09	-	.20	7.91E-04	1.29E-02
regulation of chromosome organization (GO:0033044)	290	16	35.30	-	.45	7.97E-04	1.29E-02
regulation of endocrine process (GO:0044060)	37	14	4.50	+	3.11	8.04E-04	1.30E-02
response to topologically incorrect protein (GO:0035966)	191	8	23.25	-	.34	8.06E-04	1.31E-02
excitatory chemical synaptic transmission (GO:0098976)	9	7	1.10	+	6.39	8.27E-04	1.34E-02
sinoatrial node cell differentiation (GO:0060921)	6	6	.73	+	8.21	8.39E-04	1.35E-02
negative regulation of cellular response to growth factor stimulus (GO:0090288)	109	28	13.27	+	2.11	8.38E-04	1.35E-02
metanephric tubule formation (GO:0072174)	6	6	.73	+	8.21	8.39E-04	1.36E-02
regulation of organ growth (GO:0046620)	92	25	11.20	+	2.23	8.43E-04	1.36E-02
negative regulation of leukocyte migration (GO:0002686)	42	15	5.11	+	2.93	8.59E-04	1.38E-02
trabecula morphogenesis (GO:0061383)	42	15	5.11	+	2.93	8.59E-04	1.38E-02
positive regulation of chondrocyte differentiation (GO:0032332)	20	10	2.43	+	4.11	8.62E-04	1.38E-02
positive regulation of glial cell differentiation (GO:0045687)	42	15	5.11	+	2.93	8.59E-04	1.38E-02
positive regulation of growth (GO:0045927)	257	53	31.28	+	1.69	8.59E-04	1.38E-02
uterus development (GO:0060065)	20	10	2.43	+	4.11	8.62E-04	1.38E-02
ventricular cardiac muscle tissue development (GO:0003229)	55	18	6.70	+	2.69	8.67E-04	1.39E-02
mitochondrial translational elongation (GO:0070125)	88	1	10.71	-	.09	8.72E-04	1.39E-02
tRNA processing (GO:0008033)	134	4	16.31	-	.25	8.77E-04	1.40E-02
respiratory tube development (GO:0030323)	177	40	21.55	+	1.86	8.81E-04	1.41E-02
gonad development (GO:0008406)	215	46	26.17	+	1.76	8.88E-04	1.41E-02
negative regulation of cell growth (GO:0030308)	190	42	23.13	+	1.82	9.02E-04	1.44E-02
inorganic cation import across plasma membrane (GO:0098659)	85	24	10.35	+	2.32	9.09E-04	1.44E-02
inorganic ion import across plasma membrane (GO:0099587)	85	24	10.35	+	2.32	9.09E-04	1.44E-02
mitochondrial translational termination (GO:0070126)	89	1	10.83	-	.09	9.08E-04	1.44E-02
regulation of presynapse organization (GO:0099174)	33	13	4.02	+	3.24	9.08E-04	1.44E-02
regulation of presynapse assembly (GO:1905606)	33	13	4.02	+	3.24	9.08E-04	1.44E-02
negative regulation of neurogenesis (GO:0050768)	143	34	17.41	+	1.95	9.19E-04	1.45E-02
positive regulation of endothelial cell proliferation (GO:0001938)	93	25	11.32	+	2.21	9.22E-04	1.46E-02
positive regulation of transporter activity (GO:0032411)	121	30	14.73	+	2.04	9.27E-04	1.46E-02
positive regulation of lipid metabolic process (GO:0045834)	155	36	18.87	+	1.91	9.46E-04	1.49E-02
ventricular septum development (GO:0003281)	70	21	8.52	+	2.46	9.59E-04	1.51E-02
neural precursor cell proliferation (GO:0061351)	70	21	8.52	+	2.46	9.59E-04	1.51E-02
response to cocaine (GO:0042220)	56	18	6.82	+	2.64	9.64E-04	1.52E-02
positive regulation of phospholipase activity (GO:0010518)	62	19	7.55	+	2.52	9.79E-04	1.54E-02
negative regulation of synaptic transmission (GO:0050805)	62	19	7.55	+	2.52	9.79E-04	1.54E-02
sister chromatid segregation (GO:0000819)	149	5	18.14	-	.28	9.88E-04	1.55E-02
positive regulation of heart contraction (GO:0045823)	38	14	4.63	+	3.03	9.91E-04	1.55E-02
positive regulation of amine transport (GO:0051954)	38	14	4.63	+	3.03	9.91E-04	1.55E-02
spinal cord motor neuron differentiation (GO:0021522)	29	12	3.53	+	3.40	1.01E-03	1.58E-02
regulation of homotypic cell-cell adhesion (GO:0034110)	29	12	3.53	+	3.40	1.01E-03	1.58E-02
mitochondrial respiratory chain complex I assembly (GO:0032981)	66	0	8.03	-	 < 0.01	1.03E-03	1.60E-02
NADH dehydrogenase complex assembly (GO:0010257)	66	0	8.03	-	 < 0.01	1.03E-03	1.60E-02
potassium ion import across plasma membrane (GO:1990573)	43	15	5.23	+	2.87	1.04E-03	1.63E-02
mesodermal cell fate commitment (GO:0001710)	13	8	1.58	+	5.06	1.05E-03	1.63E-02
BMP signaling pathway (GO:0030509)	78	22	9.49	+	2.32	1.05E-03	1.64E-02
ventral spinal cord interneuron differentiation (GO:0021514)	13	8	1.58	+	5.06	1.05E-03	1.64E-02
glial cell fate commitment (GO:0021781)	13	8	1.58	+	5.06	1.05E-03	1.64E-02
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	212	10	25.81	-	.39	1.06E-03	1.64E-02
regulation of protein localization (GO:0032880)	894	146	108.83	+	1.34	1.07E-03	1.66E-02
multi-multicellular organism process (GO:0044706)	210	45	25.56	+	1.76	1.08E-03	1.68E-02
secondary palate development (GO:0062009)	25	11	3.04	+	3.61	1.10E-03	1.69E-02
detection of external stimulus (GO:0009581)	137	33	16.68	+	1.98	1.10E-03	1.70E-02
response to steroid hormone (GO:0048545)	285	57	34.69	+	1.64	1.11E-03	1.71E-02
DNA packaging (GO:0006323)	202	9	24.59	-	.37	1.12E-03	1.72E-02
regulation of fatty acid oxidation (GO:0046320)	34	13	4.14	+	3.14	1.13E-03	1.74E-02
circadian rhythm (GO:0007623)	138	33	16.80	+	1.96	1.14E-03	1.75E-02
membrane depolarization during cardiac muscle cell action potential (GO:0086012)	17	9	2.07	+	4.35	1.15E-03	1.76E-02
type B pancreatic cell differentiation (GO:0003309)	21	10	2.56	+	3.91	1.15E-03	1.76E-02
retinal ganglion cell axon guidance (GO:0031290)	17	9	2.07	+	4.35	1.15E-03	1.76E-02
regulation of collateral sprouting (GO:0048670)	21	10	2.56	+	3.91	1.15E-03	1.76E-02
post-anal tail morphogenesis (GO:0036342)	17	9	2.07	+	4.35	1.15E-03	1.76E-02
spinal cord dorsal/ventral patterning (GO:0021513)	17	9	2.07	+	4.35	1.15E-03	1.76E-02
myelination (GO:0042552)	106	27	12.90	+	2.09	1.16E-03	1.77E-02
regulation of protein serine/threonine kinase activity (GO:0071900)	493	88	60.01	+	1.47	1.16E-03	1.78E-02
heterocycle catabolic process (GO:0046700)	417	28	50.76	-	.55	1.17E-03	1.78E-02
positive regulation of epithelial cell migration (GO:0010634)	150	35	18.26	+	1.92	1.17E-03	1.79E-02
response to alkaloid (GO:0043279)	117	29	14.24	+	2.04	1.19E-03	1.80E-02
detection of abiotic stimulus (GO:0009582)	139	33	16.92	+	1.95	1.19E-03	1.81E-02
proteasomal protein catabolic process (GO:0010498)	361	23	43.94	-	.52	1.20E-03	1.82E-02
calcium ion transport into cytosol (GO:0060402)	73	21	8.89	+	2.36	1.22E-03	1.85E-02
cotranslational protein targeting to membrane (GO:0006613)	101	2	12.29	-	.16	1.22E-03	1.86E-02
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	140	33	17.04	+	1.94	1.25E-03	1.89E-02
membrane depolarization (GO:0051899)	52	17	6.33	+	2.69	1.26E-03	1.91E-02
digestive tract morphogenesis (GO:0048546)	44	15	5.36	+	2.80	1.26E-03	1.91E-02
substrate-independent telencephalic tangential migration (GO:0021826)	10	7	1.22	+	5.75	1.27E-03	1.91E-02
interneuron migration from the subpallium to the cortex (GO:0021830)	10	7	1.22	+	5.75	1.27E-03	1.92E-02
glycosaminoglycan metabolic process (GO:0030203)	152	35	18.50	+	1.89	1.28E-03	1.92E-02
substrate-independent telencephalic tangential interneuron migration (GO:0021843)	10	7	1.22	+	5.75	1.27E-03	1.92E-02
positive regulation of steroid hormone secretion (GO:2000833)	10	7	1.22	+	5.75	1.27E-03	1.92E-02
cardiac muscle cell myoblast differentiation (GO:0060379)	10	7	1.22	+	5.75	1.27E-03	1.92E-02
forebrain neuron development (GO:0021884)	30	12	3.65	+	3.29	1.27E-03	1.92E-02
neurotransmitter uptake (GO:0001504)	30	12	3.65	+	3.29	1.27E-03	1.92E-02
generation of precursor metabolites and energy (GO:0006091)	403	27	49.06	-	.55	1.29E-03	1.93E-02
regulation of catalytic activity (GO:0050790)	2433	353	296.17	+	1.19	1.29E-03	1.93E-02
telomere organization (GO:0032200)	103	2	12.54	-	.16	1.30E-03	1.94E-02
cellular biosynthetic process (GO:0044249)	2715	274	330.49	-	.83	1.30E-03	1.95E-02
biosynthetic process (GO:0009058)	2865	291	348.75	-	.83	1.35E-03	2.02E-02
hormone transport (GO:0009914)	83	23	10.10	+	2.28	1.36E-03	2.03E-02
regulation of protein transport (GO:0051223)	556	97	67.68	+	1.43	1.38E-03	2.05E-02
aorta development (GO:0035904)	53	17	6.45	+	2.63	1.40E-03	2.08E-02
cell fate commitment involved in formation of primary germ layer (GO:0060795)	26	11	3.16	+	3.48	1.41E-03	2.09E-02
retina layer formation (GO:0010842)	26	11	3.16	+	3.48	1.41E-03	2.09E-02
positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	91	24	11.08	+	2.17	1.42E-03	2.10E-02
commitment of neuronal cell to specific neuron type in forebrain (GO:0021902)	7	6	.85	+	7.04	1.42E-03	2.10E-02
negative regulation of Wnt signaling pathway involved in heart development (GO:0003308)	7	6	.85	+	7.04	1.42E-03	2.10E-02
amylin receptor signaling pathway (GO:0097647)	7	6	.85	+	7.04	1.42E-03	2.10E-02
mesenchymal cell development (GO:0014031)	84	23	10.23	+	2.25	1.44E-03	2.13E-02
endothelial cell differentiation (GO:0045446)	84	23	10.23	+	2.25	1.44E-03	2.13E-02
chromatin assembly or disassembly (GO:0006333)	170	7	20.69	-	.34	1.46E-03	2.16E-02
protein targeting to membrane (GO:0006612)	182	8	22.15	-	.36	1.46E-03	2.16E-02
positive regulation of blood circulation (GO:1903524)	40	14	4.87	+	2.88	1.48E-03	2.18E-02
negative regulation of leukocyte differentiation (GO:1902106)	102	26	12.42	+	2.09	1.49E-03	2.19E-02
regulation of long-term synaptic depression (GO:1900452)	14	8	1.70	+	4.69	1.50E-03	2.20E-02
detection of mechanical stimulus involved in sensory perception of pain (GO:0050966)	14	8	1.70	+	4.69	1.50E-03	2.20E-02
rhythmic process (GO:0048511)	269	54	32.74	+	1.65	1.50E-03	2.20E-02
regulation of axon guidance (GO:1902667)	14	8	1.70	+	4.69	1.50E-03	2.20E-02
regulation of inflammatory response (GO:0050727)	518	91	63.06	+	1.44	1.50E-03	2.20E-02
intestinal epithelial cell differentiation (GO:0060575)	22	10	2.68	+	3.73	1.51E-03	2.21E-02
endocardial cushion formation (GO:0003272)	22	10	2.68	+	3.73	1.51E-03	2.21E-02
neurotransmitter reuptake (GO:0098810)	22	10	2.68	+	3.73	1.51E-03	2.21E-02
detection of temperature stimulus involved in sensory perception (GO:0050961)	22	10	2.68	+	3.73	1.51E-03	2.21E-02
ribosome assembly (GO:0042255)	62	0	7.55	-	 < 0.01	1.54E-03	2.24E-02
regulation of telomere maintenance via telomere lengthening (GO:1904356)	62	0	7.55	-	 < 0.01	1.54E-03	2.24E-02
detection of mechanical stimulus (GO:0050982)	54	17	6.57	+	2.59	1.56E-03	2.26E-02
parasympathetic nervous system development (GO:0048486)	18	9	2.19	+	4.11	1.56E-03	2.26E-02
metanephric tubule development (GO:0072170)	18	9	2.19	+	4.11	1.56E-03	2.26E-02
regulation of epithelial cell differentiation involved in kidney development (GO:2000696)	18	9	2.19	+	4.11	1.56E-03	2.26E-02
specification of animal organ identity (GO:0010092)	18	9	2.19	+	4.11	1.56E-03	2.26E-02
cGMP metabolic process (GO:0046068)	18	9	2.19	+	4.11	1.56E-03	2.27E-02
establishment of protein localization to endoplasmic reticulum (GO:0072599)	116	3	14.12	-	.21	1.57E-03	2.28E-02
protein polyubiquitination (GO:0000209)	325	20	39.56	-	.51	1.59E-03	2.30E-02
vasoconstriction (GO:0042310)	31	12	3.77	+	3.18	1.60E-03	2.30E-02
fear response (GO:0042596)	31	12	3.77	+	3.18	1.60E-03	2.31E-02
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	52	31.41	+	1.66	1.65E-03	2.37E-02
regulation of tissue remodeling (GO:0034103)	76	21	9.25	+	2.27	1.66E-03	2.39E-02
regulation of striated muscle cell differentiation (GO:0051153)	86	23	10.47	+	2.20	1.66E-03	2.40E-02
regulation of MAP kinase activity (GO:0043405)	310	60	37.74	+	1.59	1.72E-03	2.47E-02
regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)	126	30	15.34	+	1.96	1.73E-03	2.49E-02
establishment of protein localization to membrane (GO:0090150)	313	19	38.10	-	.50	1.75E-03	2.51E-02
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	2	11.69	-	.17	1.75E-03	2.51E-02
cell-cell signaling involved in cardiac conduction (GO:0086019)	27	11	3.29	+	3.35	1.79E-03	2.56E-02
embryonic camera-type eye morphogenesis (GO:0048596)	27	11	3.29	+	3.35	1.79E-03	2.56E-02
startle response (GO:0001964)	27	11	3.29	+	3.35	1.79E-03	2.56E-02
male gonad development (GO:0008584)	138	32	16.80	+	1.90	1.79E-03	2.56E-02
regulation of sensory perception (GO:0051931)	41	14	4.99	+	2.81	1.79E-03	2.56E-02
regulation of response to wounding (GO:1903034)	162	36	19.72	+	1.83	1.80E-03	2.57E-02
negative regulation of BMP signaling pathway (GO:0030514)	61	18	7.43	+	2.42	1.82E-03	2.60E-02
DNA-templated transcription, elongation (GO:0006354)	79	1	9.62	-	.10	1.84E-03	2.62E-02
negative regulation of chromosome organization (GO:2001251)	79	1	9.62	-	.10	1.84E-03	2.62E-02
cardiac muscle cell action potential (GO:0086001)	49	16	5.96	+	2.68	1.85E-03	2.62E-02
endoderm formation (GO:0001706)	49	16	5.96	+	2.68	1.85E-03	2.62E-02
telomere maintenance (GO:0000723)	99	2	12.05	-	.17	1.85E-03	2.63E-02
antigen receptor-mediated signaling pathway (GO:0050851)	299	18	36.40	-	.49	1.88E-03	2.66E-02
development of primary male sexual characteristics (GO:0046546)	139	32	16.92	+	1.89	1.89E-03	2.66E-02
ventral spinal cord interneuron fate commitment (GO:0060579)	11	7	1.34	+	5.23	1.89E-03	2.67E-02
regulation of cell-substrate adhesion (GO:0010810)	218	45	26.54	+	1.70	1.90E-03	2.67E-02
import across plasma membrane (GO:0098739)	139	32	16.92	+	1.89	1.89E-03	2.67E-02
cell fate commitment involved in pattern specification (GO:0060581)	11	7	1.34	+	5.23	1.89E-03	2.67E-02
olfactory bulb interneuron differentiation (GO:0021889)	11	7	1.34	+	5.23	1.89E-03	2.67E-02
cerebral cortex GABAergic interneuron differentiation (GO:0021892)	11	7	1.34	+	5.23	1.89E-03	2.67E-02
negative regulation of cardiocyte differentiation (GO:1905208)	11	7	1.34	+	5.23	1.89E-03	2.68E-02
axon ensheathment (GO:0008366)	108	27	13.15	+	2.05	1.91E-03	2.68E-02
regulation of mesenchymal cell apoptotic process (GO:2001053)	11	7	1.34	+	5.23	1.89E-03	2.68E-02
ensheathment of neurons (GO:0007272)	108	27	13.15	+	2.05	1.91E-03	2.68E-02
metanephric tubule morphogenesis (GO:0072173)	11	7	1.34	+	5.23	1.89E-03	2.68E-02
regulation of protein kinase B signaling (GO:0051896)	235	48	28.61	+	1.68	1.93E-03	2.71E-02
negative regulation of myeloid cell differentiation (GO:0045638)	80	22	9.74	+	2.26	1.93E-03	2.71E-02
response to nutrient levels (GO:0031667)	501	88	60.99	+	1.44	1.96E-03	2.73E-02
cyclic nucleotide biosynthetic process (GO:0009190)	23	10	2.80	+	3.57	1.96E-03	2.74E-02
positive regulation of mesenchymal cell proliferation (GO:0002053)	23	10	2.80	+	3.57	1.96E-03	2.74E-02
cyclic purine nucleotide metabolic process (GO:0052652)	23	10	2.80	+	3.57	1.96E-03	2.74E-02
innervation (GO:0060384)	23	10	2.80	+	3.57	1.96E-03	2.74E-02
Notch signaling pathway (GO:0007219)	119	29	14.49	+	2.00	1.97E-03	2.75E-02
response to vitamin (GO:0033273)	88	23	10.71	+	2.15	1.98E-03	2.75E-02
positive regulation of fat cell differentiation (GO:0045600)	64	19	7.79	+	2.44	2.01E-03	2.79E-02
response to biotic stimulus (GO:0009607)	1547	146	188.31	-	.78	2.01E-03	2.80E-02
regulation of translation (GO:0006417)	415	29	50.52	-	.57	2.02E-03	2.81E-02
aromatic compound catabolic process (GO:0019439)	438	31	53.32	-	.58	2.03E-03	2.81E-02
cellular response to peptide (GO:1901653)	339	64	41.27	+	1.55	2.03E-03	2.81E-02
regulation of exocytosis (GO:0017157)	207	43	25.20	+	1.71	2.08E-03	2.87E-02
regulation of vascular associated smooth muscle cell differentiation (GO:1905063)	15	8	1.83	+	4.38	2.08E-03	2.87E-02
enteric nervous system development (GO:0048484)	15	8	1.83	+	4.38	2.08E-03	2.87E-02
positive regulation of non-canonical Wnt signaling pathway (GO:2000052)	15	8	1.83	+	4.38	2.08E-03	2.87E-02
negative regulation of bone remodeling (GO:0046851)	19	9	2.31	+	3.89	2.08E-03	2.87E-02
